#  California 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
198001,58.2
198002,58.6
198003,58.4
198004,58.5
198005,58.2
198006,57.8
198007,57.9
198008,58
198009,57.7
198010,57.7
198011,58
198012,58.1
198101,58.1
198102,58.1
198103,58.2
198104,58.3
198105,58.6
198106,59.3
198107,59.3
198108,59.5
198109,59.7
198110,59.3
198111,59.3
198112,59.3
198201,58.8
198202,58.7
198203,58.6
198204,58.2
198205,58.2
198206,57.6
198207,57.4
198208,57.3
198209,57
198210,57.1
198211,56.7
198212,56.3
198301,56.7
198302,56.7
198303,56.8
198304,56.6
198305,56.6
198306,56.7
198307,56.6
198308,56.5
198309,56.9
198310,57.1
198311,57.3
198312,57.6
198401,57.7
198402,57.6
198403,57.9
198404,58.1
198405,58.5
198406,58.5
198407,59
198408,59.1
198409,59.2
198410,58.7
198411,58.6
198412,58.2
198501,57.9
198502,57.8
198503,57.4
198504,57.8
198505,57.5
198506,57.8
198507,57.8
198508,57.7
198509,57
198510,57.2
198511,57.1
198512,57.3
198601,57.9
198602,58.2
198603,58.8
198604,58.5
198605,58.6
198606,58.5
198607,58.2
198608,58.4
198609,58.3
198610,58.3
198611,58.8
198612,58.9
198701,58.3
198702,58
198703,57.6
198704,58
198705,58.1
198706,58.1
198707,57.9
198708,57.8
198709,58.3
198710,58.7
198711,58.5
198712,58.3
198801,58.4
198802,58.6
198803,58.8
198804,58.5
198805,58.2
198806,58
198807,58.5
198808,58.6
198809,58.5
198810,58.6
198811,58.6
198812,58.8
198901,58.6
198902,58.1
198903,58.1
198904,58.5
198905,58.6
198906,58.7
198907,58.5
198908,58.3
198909,58.2
198910,57.8
198911,57.9
198912,58.1
199001,58.3
199002,58.3
199003,58.3
199004,58.1
199005,58
199006,58
199007,58.1
199008,58.2
199009,58.4
199010,58.7
199011,58.5
199012,58
199101,58
199102,58.7
199103,58.2
199104,57.7
199105,57.5
199106,57.3
199107,57.2
199108,57.1
199109,57.3
199110,57.5
199111,57.7
199112,58.1
199201,58.1
199202,57.9
199203,58.4
199204,58.9
199205,59.7
199206,59.9
199207,59.8
199208,60
199209,59.9
199210,59.8
199211,59.6
199212,59.3
199301,59.1
199302,58.7
199303,58.9
199304,58.6
199305,58.2
199306,58.1
199307,57.9
199308,57.7
199309,57.6
199310,57.5
199311,57.4
199312,57.7
199401,58
199402,58
199403,58
199404,58.1
199405,58
199406,58.2
199407,58.6
199408,58.8
199409,58.8
199410,58.6
199411,58.1
199412,58
199501,57.9
199502,58.6
199503,58.2
199504,58
199505,57.7
199506,57.3
199507,57.1
199508,57.1
199509,57.2
199510,57.5
199511,58.6
199512,58.9
199601,59
199602,58.8
199603,59
199604,59.3
199605,59.7
199606,60
199607,60.4
199608,60.5
199609,60.3
199610,60
199611,59.6
199612,59.6
199701,59.5
199702,59.3
199703,59.5
199704,59.4
199705,59.8
199706,59.7
199707,59.3
199708,59.2
199709,59.4
199710,59.3
199711,59.4
199712,59.1
199801,59.2
199802,58.9
199803,58.5
199804,58.2
199805,57.1
199806,56.9
199807,57
199808,57.2
199809,57.1
199810,57
199811,56.7
199812,56.7
199901,56.7
199902,56.8
199903,56.7
199904,56.6
199905,57.1
199906,57.3
199907,57.1
199908,56.7
199909,56.8
199910,57.3
199911,57.7
199912,58
200001,58
200002,58.2
200003,58.4
200004,59
200005,59.3
200006,59.6
200007,59.7
200008,59.9
200009,59.7
200010,59.3
200011,58.7
200012,58.8
200101,58.5
200102,58.2
200103,58.4
200104,57.9
200105,58.3
200106,58.2
200107,58.3
200108,58.4
200109,58.5
200110,59
200111,59.4
200112,59.1
200201,59.1
200202,59.6
200203,59.2
200204,59.6
200205,59
200206,58.9
200207,59.2
200208,59.1
200209,59
200210,58.7
200211,58.8
200212,58.9
200301,59.5
200302,59.3
200303,59.5
200304,59
200305,59.1
200306,59.1
200307,59.2
200308,59.2
200309,59.4
200310,59.9
200311,59.4
200312,59.4
200401,58.9
200402,58.8
200403,59.2
200404,59.8
200405,59.9
200406,59.9
200407,59.6
200408,59.6
200409,59.3
200410,58.7
200411,58.8
200412,58.9
200501,58.9
200502,59.2
200503,58.7
200504,58.3
200505,58.2
200506,57.9
200507,58.1
200508,58.2
200509,57.9
200510,58.1
200511,58.5
200512,58.6
200601,58.6
200602,58.7
200603,58.1
200604,58.1
200605,58.3
200606,58.9
200607,59
200608,58.8
200609,59
200610,58.9
200611,58.8
200612,58.6
200701,58.4
200702,58.3
200703,59.2
200704,59.4
200705,59.4
200706,59.2
200707,59
200708,59.2
200709,59
200710,59
200711,59.2
200712,58.9
200801,58.9
200802,58.8
200803,58.5
200804,58.3
200805,58.1
200806,58.2
200807,58.1
200808,58.2
200809,58.5
200810,58.8
200811,58.9
200812,58.9
200901,59.4
200902,59.4
200903,59.3
200904,59.3
200905,59.7
200906,59.4
200907,59.5
200908,59.3
200909,59.4
200910,59.1
200911,58.9
200912,58.8
201001,58.7
201002,58.8
201003,58.8
201004,58.5
201005,57.7
201006,57.8
201007,57.7
201008,57.6
201009,57.4
201010,57.6
201011,57.4
201012,57.7
201101,57.7
201102,57.4
201103,57.4
201104,57.6
201105,57.7
201106,57.5
201107,57.3
201108,57.5
201109,57.6
201110,57.7
201111,57.7
201112,57.4
201201,57.5
201202,57.8
201203,57.8
201204,58
201205,58.5
201206,58.7
201207,58.8
201208,59
201209,59.1
201210,59.1
201211,59.5
201212,59.5
201301,59.1
201302,59
201303,59.5
201304,59.7
201305,59.7
201306,59.9
201307,60.2
201308,59.9
201309,59.6
201310,59.3
201311,59.2
201312,59.3
201401,60
201402,60.4
201403,60.3
201404,60.3
201405,60.4
201406,60.3
201407,60.4
201408,60.4
201409,60.6
201410,61.1
201411,61.2
201412,61.5
201501,61.3
201502,61.6
201503,61.9
201504,61.8
201505,61.5
201506,61.7
201507,61.4
201508,61.6
201509,61.5
201510,61.6
201511,61.1
201512,60.8
201601,60.4
201602,60.3
201603,59.9
201604,60
201605,60.2
201606,60.1
201607,60.2
201608,60.2
201609,60
201610,59.6
201611,60
201612,60.1
201701,59.9
201702,59.6
201703,59.6
201704,59.5
201705,59.6
201706,59.5
201707,59.7
201708,59.8
201709,59.8
201710,60
201711,60
201712,60.3
201801,60.9
201802,60.8
201803,60.5
201804,60.6
201805,60.6
201806,60.5
201807,60.5
201808,60.4
201809,60.5
201810,60.4
201811,60.4
201812,60.1
201901,59.9
201902,59.4
201903,59.4
201904,59.5
201905,59.1
201906,59.1
201907,58.7
201908,58.8
201909,58.6
201910,58.4
201911,58.4
201912,58.4
202001,58.3
202002,59.1
202003,59
202004,58.9
202005,59.4
202006,59.3
202007,59.4
202008,59.6
202009,60
202010,60.6
202011,60.4
202012,60.5
202101,60.5
202102,60.4
202103,60.4
202104,60.5
202105,60.5
202106,60.9
202107,61.2
202108,61
202109,60.9
202110,60.2
202111,60.5
202112,60.4
202201,60.4
202202,60.4
202203,60.8
202204,60.6
202205,60.4
202206,60.2
202207,60
202208,60.1
202209,60.3
202210,60.7
202211,60.1
202212,60.1
202301,59.8
202302,59.4
202303,58.6
202304,58.6
202305,58.6
202306,58.1
202307,58.3
202308,58
202309,57.6
202310,57.4
202311,57.9
202312,58.3
202401,58.5
202402,58.8
202403,59.2
202404,59.2
202405,59.3
202406,59.9
202407,60.1
202408,60.1
202409,60.5
202410,60.8
202411,60.5
202412,60.5
202501,60.5
202502,60.7
202503,60.7
