#  Georgia 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
198001,62.8
198002,62.7
198003,62.5
198004,62.4
198005,62.4
198006,62.6
198007,62.9
198008,63.1
198009,63.5
198010,63.4
198011,63.1
198012,63
198101,62.4
198102,62.8
198103,62.7
198104,63.1
198105,62.9
198106,63.2
198107,63.1
198108,62.8
198109,62.3
198110,62.4
198111,62.5
198112,62.4
198201,62.6
198202,62.9
198203,63.3
198204,62.9
198205,63.2
198206,62.9
198207,62.7
198208,62.8
198209,62.8
198210,62.9
198211,63.2
198212,63.9
198301,63.9
198302,63.5
198303,63.1
198304,62.9
198305,62.7
198306,62.5
198307,62.7
198308,62.9
198309,62.9
198310,63
198311,62.7
198312,61.9
198401,62
198402,62.2
198403,62.2
198404,62.5
198405,62.5
198406,62.7
198407,62.4
198408,62.1
198409,62.2
198410,62.5
198411,62.4
198412,63.3
198501,63.1
198502,63
198503,63.3
198504,63.5
198505,63.7
198506,63.7
198507,63.8
198508,63.7
198509,63.8
198510,63.8
198511,64.7
198512,63.8
198601,64.1
198602,64.5
198603,64.3
198604,64.2
198605,64.3
198606,64.5
198607,64.9
198608,64.9
198609,65.2
198610,64.9
198611,64.7
198612,65
198701,65
198702,64.6
198703,64.5
198704,64.2
198705,64.3
198706,64.1
198707,63.9
198708,64.1
198709,64
198710,63.4
198711,63
198712,63.3
198801,63
198802,62.9
198803,62.9
198804,63.2
198805,62.9
198806,62.8
198807,62.7
198808,62.6
198809,62.6
198810,62.7
198811,62.7
198812,62.4
198901,63.3
198902,63.6
198903,63.9
198904,63.8
198905,63.8
198906,63.8
198907,63.8
198908,63.6
198909,63.6
198910,63.9
198911,63.8
198912,63.2
199001,63.2
199002,63.6
199003,63.7
199004,63.7
199005,63.9
199006,64
199007,64.1
199008,64.3
199009,64.5
199010,64.6
199011,64.7
199012,65.7
199101,65.3
199102,65
199103,64.9
199104,65.3
199105,65.6
199106,65.4
199107,65.4
199108,65.2
199109,65.1
199110,65
199111,64.6
199112,64.5
199201,64.5
199202,64.5
199203,64.3
199204,63.8
199205,63.3
199206,63.2
199207,63.2
199208,63.1
199209,63.1
199210,62.8
199211,63
199212,62.7
199301,63.1
199302,62.6
199303,62.4
199304,62.2
199305,62.4
199306,62.6
199307,62.9
199308,63.1
199309,63.3
199310,63.4
199311,63.4
199312,63.2
199401,62.6
199402,63
199403,63.4
199404,63.9
199405,63.8
199406,63.8
199407,63.4
199408,63.1
199409,62.8
199410,62.8
199411,63.2
199412,63.6
199501,64
199502,63.7
199503,63.8
199504,63.7
199505,64
199506,63.8
199507,64.1
199508,64.4
199509,64.4
199510,64.6
199511,63.9
199512,63.5
199601,63.3
199602,63.4
199603,62.8
199604,62.5
199605,62.6
199606,62.7
199607,62.6
199608,62.4
199609,62.4
199610,62.2
199611,62.3
199612,62.7
199701,62.9
199702,63.2
199703,64.1
199704,64.1
199705,63.6
199706,63.3
199707,63.3
199708,63.3
199709,63.4
199710,63.5
199711,63.4
199712,63.2
199801,63.3
199802,63.2
199803,62.5
199804,62.7
199805,63.2
199806,63.9
199807,64
199808,64.2
199809,64.3
199810,64.5
199811,65.2
199812,65.7
199901,65.7
199902,65.8
199903,65.8
199904,66.2
199905,65.8
199906,65.4
199907,65.3
199908,65.5
199909,65.3
199910,65.1
199911,64.9
199912,64.5
200001,64.2
200002,64.2
200003,64.7
200004,64.1
200005,64.5
200006,64.6
200007,64.6
200008,64.4
200009,64.4
200010,64.3
200011,64
200012,63.4
200101,63.1
200102,63.3
200103,62.8
200104,63.1
200105,62.9
200106,62.7
200107,62.6
200108,62.6
200109,62.6
200110,62.4
200111,62.9
200112,63.9
200201,64.3
200202,63.9
200203,64.2
200204,64.5
200205,64.4
200206,64.5
