#  Georgia 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
198001,54.6
198002,50.16
198003,58.73
198004,55.83
198005,55.79
198006,56.27
198007,52.25
198008,50.64
198009,48.44
198010,50.28
198011,48.26
198012,47.07
198101,43.37
198102,46.74
198103,39.35
198104,38
198105,36.04
198106,36.26
198107,37.63
198108,40.27
198109,37.39
198110,37.29
198111,37.04
198112,42.09
198201,45.9
198202,45.98
198203,44.48
198204,48
198205,48.36
198206,49.55
198207,51.79
198208,50.35
198209,51.66
198210,51.22
198211,53.19
198212,53.28
198301,52.75
198302,52.7
198303,57.17
198304,56.34
198305,55.79
198306,55.58
198307,52.2
198308,51.7
198309,53.32
198310,52.61
198311,55.33
198312,56.54
198401,57
198402,55.79
198403,54.97
198404,54.19
198405,56.91
198406,55.13
198407,60.62
198408,61.09
198409,57.76
198410,57.8
198411,53.66
198412,48
198501,46.27
198502,46.76
198503,42.25
198504,39.58
198505,38.28
198506,39.24
198507,37.59
198508,40.17
198509,40
198510,42.85
198511,45.78
198512,47.08
198601,46.27
198602,45.94
198603,47.34
198604,45.98
198605,44.62
198606,43.4
198607,39.74
198608,39.66
198609,41.17
198610,40.11
198611,41.06
198612,42.5
198701,47.69
198702,48.73
198703,51.07
198704,51.27
198705,51.48
198706,54.81
198707,55.47
198708,52.95
198709,53.75
198710,50.3
198711,47.06
198712,44.99
198801,42.7
198802,41.09
198803,38.97
198804,43
198805,42
198806,37.89
198807,38.19
198808,39.34
198809,42.24
198810,44.61
198811,44.74
198812,43.65
198901,40.66
198902,39.81
198903,40.73
198904,39.9
198905,41.9
198906,48.66
198907,52.12
198908,51.18
198909,50.03
198910,51.18
198911,51.35
198912,55.32
199001,58.85
199002,61
199003,61.92
199004,59.78
199005,59.13
199006,52.13
199007,49.1
199008,49.26
199009,46.01
199010,48.31
199011,46.84
199012,44.85
199101,48.61
199102,45.37
199103,47.89
199104,51.05
199105,53.93
199106,57.8
199107,61.1
199108,63.43
199109,62.99
199110,57.74
199111,57.73
199112,57.84
199201,54.44
199202,57.55
199203,54.77
199204,52.03
199205,48.19
199206,48.6
199207,46.16
199208,47.2
199209,49.81
199210,52.45
199211,58.54
199212,58.74
199301,59.15
199302,57.64
199303,59.69
199304,59.87
199305,59.99
199306,57.28
199307,55.19
199308,50.9
199309,49.66
199310,50.5
199311,46.37
199312,45.86
199401,44.69
199402,44.45
199403,44
199404,44.42
199405,44.34
199406,48.73
199407,54.57
199408,57.02
199409,58.01
199410,61.75
199411,61.27
199412,61.23
199501,60.36
199502,62.89
199503,59.46
199504,58.53
199505,58.77
199506,57.29
199507,51.84
199508,52.91
199509,52.28
199510,49.28
199511,50.04
199512,49.67
199601,50.57
199602,47.67
199603,51.98
199604,53.42
199605,53.62
199606,50.61
199607,51.32
199608,49.84
199609,50.87
199610,49.12
199611,47.6
199612,48.7
199701,48.89
199702,51.36
199703,46.67
199704,47.98
199705,48.63
199706,50.32
199707,50.98
199708,48.71
199709,49.2
199710,51.6
199711,54.77
199712,57.29
199801,57.68
199802,59.63
199803,63
199804,64.59
199805,64.01
199806,61.83
199807,61.65
199808,62.77
199809,64.97
199810,60.67
199811,56.72
199812,52.9
199901,52.25
199902,47.62
199903,43.92
199904,39.56
199905,39.65
199906,43.13
199907,43.35
199908,42.45
199909,39.24
199910,40.64
199911,41.22
199912,40.86
200001,40.21
200002,39.03
200003,41.32
200004,42.05
200005,40.24
200006,37.99
200007,36.63
200008,37.71
200009,40.5
200010,38.18
200011,40.22
200012,41.38
200101,39.53
200102,39.75
200103,43.98
200104,43.12
200105,44.82
200106,48.31
200107,49.99
200108,48.7
200109,45.94
200110,46.32
200111,43.39
200112,41.8
200201,43.08
200202,43.39
200203,40.02
200204,40.36
200205,40.81
200206,36.94
200207,36.13
200208,36.92
200209,39.13
200210,42.7
200211,46.21
200212,49.72
200301,47.38
200302,50.36
200303,52.09
200304,54.64
200305,57.82
200306,61.53
200307,64.7
200308,66.76
200309,63.51
200310,62.07
200311,60.01
200312,57.23
200401,58.31
200402,58.34
200403,51.93
200404,49.3
200405,45.97
200406,46.07
200407,42.79
200408,41.79
200409,50.93
200410,49.79
200411,51.62
200412,52.16
200501,51.53
200502,50.5
200503,56.51
200504,59.37
200505,59.4
200506,59.7
200507,63.61
200508,64.87
200509,53.84
200510,55.3
200511,53.57
200512,54.74
200601,56.62
200602,56.66
200603,51.27
200604,48.79
200605,48.42
200606,44.38
200607,39.21
200608,37.52
200609,39.94
200610,39.64
200611,39.73
200612,39
200701,39.14
200702,37.53
200703,38.16
200704,37.47
200705,35.4
200706,36.31
200707,38.59
200708,38.3
200709,37.99
200710,37.7
200711,36.01
200712,38.07
200801,37.23
200802,40.16
200803,41.62
200804,43.07
200805,45.09
200806,43.12
200807,42.66
200808,46.05
200809,44.14
200810,45.86
200811,48.13
200812,46.99
200901,46.24
200902,42.86
200903,45.85
200904,49.34
200905,53.12
200906,53.41
200907,52.16
200908,50.36
200909,55.12
200910,56.43
200911,56.78
200912,61.48
201001,64.88
201002,66.16
201003,63.22
201004,58.85
201005,57.61
201006,59.07
201007,59.16
201008,58.66
201009,55.98
201010,51.71
201011,49.85
201012,43.04
201101,40.32
201102,40.45
201103,42.74
201104,43.22
201105,39.22
201106,38.58
201107,39.41
201108,36.7
201109,37.29
201110,38.4
201111,39.15
201112,40.11
201201,39.82
201202,39.04
201203,37.31
201204,36.06
201205,38.9
201206,40
201207,39.9
201208,43.71
201209,42.76
201210,42.08
201211,40.32
201212,42.02
201301,42.3
201302,49
201303,48.75
201304,52.25
201305,52.04
201306,54.87
201307,60.03
201308,61.38
201309,60.84
201310,59.87
201311,62.03
201312,63.49
201401,63.5
201402,57.94
201403,58.36
201404,60.62
201405,60.71
201406,56.79
201407,51.15
201408,46.92
201409,49.52
201410,51.36
201411,52.49
201412,51.41
201501,51.72
201502,52.15
201503,50.55
201504,49.4
201505,47.7
201506,48.31
201507,49
201508,51.41
201509,50.19
201510,50.64
201511,52.56
201512,55.74
201601,55.88
201602,56.26
201603,56.48
201604,54.44
201605,55.05
201606,54.82
201607,52.92
201608,51.14
201609,50.88
201610,49.04
201611,43.71
201612,40.9
201701,44.84
201702,42.06
201703,41.14
201704,40.72
201705,43.54
201706,45.88
201707,47.99
201708,48.57
201709,50.09
201710,52.24
201711,52.29
201712,49.8
201801,44.9
201802,47.1
201803,48.54
201804,48.96
201805,50.03
201806,48.73
201807,50.13
201808,51.09
201809,48.83
201810,49.12
201811,54.36
201812,60.8
201901,62.92
201902,61.89
201903,61.29
201904,61.06
201905,56.69
201906,57.58
201907,55.25
201908,54.24
201909,52.38
201910,54.04
201911,50.98
201912,47.89
202001,47.89
202002,53.44
202003,55.8
202004,59.46
202005,60.34
202006,58.14
202007,58.16
202008,60.54
202009,66.13
202010,64.09
202011,63.9
202012,60.46
202101,60.13
202102,56.96
202103,56.48
202104,52.52
202105,52.14
202106,54.63
202107,57.98
202108,57.82
202109,56.86
202110,57.86
202111,56
202112,57.14
202201,56.52
202202,54.35
202203,54.19
202204,54.27
