#  California 12-Month Period Precipitation
# Units: Inches
# Missing: -99
Date,Value
198001,26.21
198002,28.86
198003,28.23
198004,28.79
198005,28.83
198006,29.11
198007,28.93
198008,28.52
198009,28.5
198010,26.56
198011,24.64
198012,24.12
198101,21.88
198102,16.45
198103,17.68
198104,16.97
198105,16.99
198106,16.75
198107,16.59
198108,16.65
198109,17.01
198110,18.88
198111,24.24
198112,26.24
198201,26.09
198202,26.96
198203,28.7
198204,31.37
198205,30.69
198206,31.28
198207,31.47
198208,31.73
198209,32.41
198210,32.63
198211,31.69
198212,31.99
198301,33.68
198302,37.53
198303,40.77
198304,40.25
198305,40.56
198306,40.11
198307,39.98
198308,40.76
198309,40.41
198310,38.93
198311,40.43
198312,42.46
198401,36.86
198402,32.26
198403,24.91
198404,23
198405,22.86
198406,23.06
198407,23.55
198408,23.02
198409,22.38
198410,22.81
198411,22.4
198412,18.32
198501,18.8
198502,18.45
198503,19.66
198504,18.69
198505,18.5
198506,18.28
198507,17.97
198508,17.43
198509,18.24
198510,17.78
198511,15.48
198512,14.7
198601,17.69
198602,25.17
198603,26.99
198604,27.75
198605,28.25
198606,28.12
198607,28.06
198608,28.11
198609,28.43
198610,27.92
198611,24.85
198612,24.25
198701,23.52
198702,16.98
198703,15.87
198704,15.27
198705,15.2
198706,15.32
198707,15.35
198708,15.27
198709,13.97
198710,14.66
198711,16.15
198712,19.7
198801,20.47
198802,18.48
198803,15.48
198804,17.5
198805,17.78
198806,18.15
198807,17.99
198808,18.36
198809,18.37
198810,17.14
198811,19.08
198812,17.1
198901,14.85
198902,15.62
198903,20.13
198904,18.54
198905,18.4
198906,18.14
198907,18.09
198908,17.97
198909,19.19
198910,21.04
198911,17.89
198912,14.95
199001,17.08
199002,17.87
199003,14.07
199004,14.07
199005,15.76
199006,15.63
199007,15.87
199008,15.94
199009,15.02
199010,13.54
199011,13.2
199012,13.99
199101,11.27
199102,11.15
199103,18.96
199104,18.88
199105,17.24
199106,17.38
199107,17.36
199108,17.2
199109,17.03
199110,17.84
199111,18.2
199112,19.79
199201,20.73
199202,24.47
199203,19.01
199204,19.29
199205,18.7
199206,19.09
199207,19.07
199208,19.07
199209,18.88
199210,19.73
199211,19.25
199212,23.23
199301,30.15
199302,30.15
199303,29.55
199304,29.97
199305,31.18
199306,31.34
199307,31.13
199308,31.15
199309,31.14
199310,29.83
199311,30.66
199312,26.7
199401,19.75
199402,17.73
199403,15.92
199404,15.83
199405,15.74
199406,14.97
199407,14.99
199408,14.83
199409,15.13
199410,14.94
199411,17.25
199412,17.54
199501,28.13
199502,25.44
199503,33.77
199504,35.1
199505,35.48
199506,36.33
199507,36.45
199508,36.45
199509,36.18
199510,35.6
199511,32.23
199512,35.2
199601,27.82
199602,32.54
199603,25.54
199604,24.95
199605,25.23
199606,24.46
199607,24.49
199608,24.49
199609,24.69
199610,26.34
199611,29.33
199612,32.51
199701,35.01
199702,29.73
199703,28
199704,26.79
199705,25.16
199706,25.63
199707,25.74
199708,25.95
199709,26.62
199710,26
199711,26.6
199712,20.6
199801,19.95
199802,30.74
199803,34.05
199804,35.33
199805,37.98
199806,38.1
199807,37.99
199808,37.85
199809,37.65
199810,37.33
199811,37.72
199812,36.41
199901,32.98
199902,26.46
199903,24.71
199904,24.41
199905,21.71
199906,21.19
199907,21.3
199908,21.38
199909,20.82
199910,20.77
199911,18.63
199912,17.63
200001,19.18
200002,21.13
200003,20.65
200004,20.58
200005,21.19
200006,21.25
200007,21
200008,21.06
200009,21.23
200010,22.72
200011,21.31
200012,21.43
200101,19.86
200102,17.35
200103,17.64
200104,17.59
200105,16.8
200106,16.72
200107,16.94
200108,16.72
200109,16.67
200110,15.12
200111,18.54
200112,23.02
200201,21.72
200202,18.75
200203,18.45
200204,17.58
200205,18.02
200206,17.86
200207,17.64
200208,17.6
200209,17.41
200210,16.82
200211,15.79
200212,18.68
200301,18.38
200302,19.59
200303,20.45
200304,23.55
200305,24.05
200306,24.02
200307,24.18
200308,24.74
200309,24.8
200310,24.83
200311,24
200312,21.63
200401,21.98
200402,25.2
200403,23.51
200404,20.23
200405,19.59
200406,19.63
200407,19.47
200408,19.09
200409,19.06
200410,22.69
200411,22.02
200412,21.76
200501,25.05
200502,23.2
200503,25.81
200504,26.9
200505,28.99
200506,29.58
200507,29.66
200508,29.76
200509,29.94
200510,27.22
200511,27.8
200512,30.1
200601,29.08
200602,27.74
200603,29.46
200604,31.83
200605,30.02
200606,29.5
200607,29.51
200608,29.28
200609,29.02
200610,28.47
200611,28.29
200612,23.61
200701,19.88
200702,21.43
200703,16.76
200704,13.87
200705,13.46
200706,13.43
200707,13.46
200708,13.52
200709,13.96
200710,15.01
200711,13.75
200712,13.83
200801,20.13
200802,18.65
200803,18.52
200804,17.59
200805,17.81
200806,17.72
200807,17.68
200808,17.68
200809,17.22
200810,16.42
200811,18.01
200812,17.85
200901,12.01
200902,13.89
200903,15.54
200904,15.77
200905,16.47
200906,17.04
200907,16.95
200908,16.95
200909,17
200910,18.37
200911,16.95
200912,17.05
201001,22.26
201002,21.27
201003,21.2
201004,24.1
201005,23.93
201006,23.59
201007,23.61
201008,23.59
201009,23.66
201010,24.59
201011,26.2
201012,31.18
201101,25.98
201102,25.67
201103,29.89
201104,27.52
201105,27.89
201106,28.55
201107,28.7
201108,28.7
201109,28.82
201110,27.36
201111,26.45
201112,18.79
201201,20.63
201202,18.51
201203,16.84
201204,18.22
201205,16.98
201206,16.38
201207,16.42
201208,16.62
201209,16.44
201210,15.89
201211,17.77
201212,23.45
201301,21.52
201302,20.88
201303,17.47
201304,15.7
201305,16.12
201306,16.18
201307,16.2
201308,16.28
201309,16.95
201310,16.22
201311,13.64
201312,7.93
201401,7.28
201402,10.72
201403,12.67
201404,13.02
201405,12.75
201406,12.43
201407,12.37
201408,12.44
201409,12.39
201410,13.19
201411,14.04
201412,19.9
201501,20.01
201502,18.85
201503,16.35
201504,16.35
201505,16.93
201506,17.1
201507,17.54
201508,17.17
201509,16.78
201510,16.62
201511,16.65
201512,15.04
201601,20.78
201602,19.13
201603,23.23
201604,23.69
201605,23.53
201606,23.57
201607,22.97
201608,22.95
201609,22.72
201610,25.64
201611,25.93
201612,25.73
201701,29.26
201702,35.99
201703,33.56
201704,34.8
201705,34.46
201706,34.45
201707,34.48
201708,34.69
201709,35.02
201710,31.54
201711,32.36
201712,28.17
201801,21.58
201802,14.21
201803,16.88
201804,16.25
201805,16.48
201806,16.29
201807,16.42
201808,16.19
201809,15.82
201810,16.18
201811,16.01
201812,18.09
201901,19.99
201902,27.99
201903,26.92
201904,26.01
201905,27.85
201906,27.87
201907,27.73
201908,27.82
201909,28.37
201910,27.83
201911,26.63
201912,29.12
202001,25.95
